Dataset,train set,test set,proposed method,Prototype Generation using KMeans,Random Undersampling,Near Miss Undersampling,EditedNearestNeighbours Cleaning Undersampling,CondensedNearestNeighbourUndersampling,SMOTE
pima,0.7529861443,0.7755149486,0.7587762124,0.7377597991,0.7987166969,0.7746780118,0.8070395685,0.7579857721,0.8379132376
segment0,0.9953215674,0.9973408326,0.6961088154,0.9452766299,0.9546602388,0.8617424242,0.9995408632,0.9680325987,0.9999617386
led7digit-0-2-4-5-6-7-8-9_vs_1,0.9644594089,0.9678936605,0.9756646217,0.9781186094,0.9650306748,0.6930470348,0.9732106339,0.9703476483,0.9703476483
abalone9-18,0.538401937,0.5304774084,0.8657289003,0.9239130435,0.7231457801,0.8463341858,0.2561807332,0.8369565217,0.9324381927
poker-9_vs_7,0.1829787234,0.2701754386,0.5368421053,0.5859649123,0.698245614,0.4245614035,0.4140350877,0.3368421053,0.4070175439
kddcup-guess_passwd_vs_satan,1,1,0.9958071279,1,1,1,1,1,1
yeast5,0.9812143875,0.9800347222,0.988908179,0.9899691358,0.982349537,0.8481867284,0.9795524691,0.9867862654,0.9893904321
abalone19,0.3887112147,0.3853581542,0.8730328211,0.8285594912,0.7345991365,0.736223945,0.332853628,0.3603361032,0.9002367578
page-blocks0,0.9675956328,0.9556478969,0.9370194482,0.940387349,0.9326177554,0.7950951412,0.9536570395,0.872354946,0.9624483104
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,AdaBoost,,,,,,,,
,0.6653,,,,,,,,
,0.9,,,,,,,,
,0.998,,,,,,,,
,0.9157,,,,,,,,
,0.707,,,,,,,,
,0.7839,,,,,,,,
,0.657,,,,,,,,
,0.8578 RUSBoost,,,,,,,,
,0.6796,,,,,,,,
,0.6935,,,,,,,,
,0.9805,,,,,,,,
,0.886,,,,,,,,
,0.805,,,,,,,,
,0.801,,,,,,,,
,0.7395,,,,,,,,
,0.9123 SOMTEBoost,,,,,,,,
,0.667,,,,,,,,
,0.632,,,,,,,,
,0.9642,,,,,,,,
,0.9485,,,,,,,,
,0.7029,,,,,,,,
,0.7653,,,,,,,,
,0.69,,,,,,,,
,0.8602 CUSBoost,,,,,,,,
,0.6679,,,,,,,,
,0.54,,,,,,,,
,0.9523,,,,,,,,
,0.9544,,,,,,,,
,0.7434,,,,,,,,
,0.7895,,,,,,,,
,0.9685,,,,,,,,
,0.8849,,,,,,,,
,0.9324,,,,,,,,
,0.6455,,,,,,,,
,0.5796,,,,,,,,
,0.78,,,,,,,,
,0.8567 0.9515,,,,,,,,
,0.677,,,,,,,,
,0.6498,,,,,,,,
,0.937,,,,,,,,
,0.8989 0.9391,,,,,,,,
,0.6753,,,,,,,,
,0.5876,,,,,,,,
,0.8592,,,,,,,,
,0.8516 0.9126,,,,,,,,
,0.6656,,,,,,,,
,0.6176,,,,,,,,
,0.9007,,,,,,,,
,0.8967,,,,,,,,
